Epoch [1/30], loss: 0.8246, accuracy: 70.24%
Epoch [2/30], loss: 0.5705, accuracy: 80.29%
Epoch [3/30], loss: 0.4504, accuracy: 84.78%
Epoch [4/30], loss: 0.3665, accuracy: 87.77%
Epoch [5/30], loss: 0.3078, accuracy: 89.86%
Epoch [6/30], loss: 0.2595, accuracy: 91.40%
Epoch [7/30], loss: 0.2182, accuracy: 92.92%
Epoch [8/30], loss: 0.1895, accuracy: 94.05%
Epoch [9/30], loss: 0.1703, accuracy: 94.66%
Epoch [10/30], loss: 0.1596, accuracy: 94.89%
Epoch [11/30], loss: 0.1456, accuracy: 95.38%
Epoch [12/30], loss: 0.1366, accuracy: 95.77%
Epoch [13/30], loss: 0.1221, accuracy: 96.21%
Epoch [14/30], loss: 0.1067, accuracy: 96.62%
Epoch [15/30], loss: 0.1101, accuracy: 96.50%
Epoch [16/30], loss: 0.1266, accuracy: 96.18%
Epoch [17/30], loss: 0.1078, accuracy: 96.74%
Epoch [18/30], loss: 0.0923, accuracy: 97.14%
Epoch [19/30], loss: 0.0973, accuracy: 97.06%
Epoch [20/30], loss: 0.0846, accuracy: 97.38%
Epoch [21/30], loss: 0.0970, accuracy: 97.11%
Epoch [22/30], loss: 0.0829, accuracy: 97.41%
Epoch [23/30], loss: 0.0869, accuracy: 97.38%
Epoch [24/30], loss: 0.0824, accuracy: 97.41%
Epoch [25/30], loss: 0.0870, accuracy: 97.27%
Epoch [26/30], loss: 0.0831, accuracy: 97.53%
Epoch [27/30], loss: 0.0832, accuracy: 97.45%
Epoch [28/30], loss: 0.0771, accuracy: 97.67%
Epoch [29/30], loss: 0.0665, accuracy: 97.91%
Epoch [30/30], loss: 0.0764, accuracy: 97.70%
