Epoch [1/30], loss: 0.7356, accuracy: 73.92%
Epoch [2/30], loss: 0.3962, accuracy: 85.33%
Epoch [3/30], loss: 0.2749, accuracy: 90.18%
Epoch [4/30], loss: 0.1992, accuracy: 92.75%
Epoch [5/30], loss: 0.1741, accuracy: 93.71%
Epoch [6/30], loss: 0.1434, accuracy: 94.88%
Epoch [7/30], loss: 0.1227, accuracy: 95.35%
Epoch [8/30], loss: 0.0845, accuracy: 96.80%
Epoch [9/30], loss: 0.0645, accuracy: 97.63%
Epoch [10/30], loss: 0.0389, accuracy: 98.92%
Epoch [11/30], loss: 0.0295, accuracy: 99.35%
Epoch [12/30], loss: 0.0228, accuracy: 99.40%
Epoch [13/30], loss: 0.0234, accuracy: 99.42%
Epoch [14/30], loss: 0.0505, accuracy: 98.33%
Epoch [15/30], loss: 0.0365, accuracy: 98.85%
Epoch [16/30], loss: 0.0175, accuracy: 99.45%
Epoch [17/30], loss: 0.0186, accuracy: 99.40%
Epoch [18/30], loss: 0.0174, accuracy: 99.53%
Epoch [19/30], loss: 0.0136, accuracy: 99.62%
Epoch [20/30], loss: 0.0239, accuracy: 99.33%
Epoch [21/30], loss: 0.0146, accuracy: 99.75%
Epoch [22/30], loss: 0.0381, accuracy: 98.92%
Epoch [23/30], loss: 0.0324, accuracy: 98.92%
Epoch [24/30], loss: 0.0059, accuracy: 99.90%
Epoch [25/30], loss: 0.0032, accuracy: 99.92%
Epoch [26/30], loss: 0.0015, accuracy: 99.98%
Epoch [27/30], loss: 0.0012, accuracy: 99.98%
Epoch [28/30], loss: 0.0010, accuracy: 99.98%
Epoch [29/30], loss: 0.0008, accuracy: 99.98%
Epoch [30/30], loss: 0.0007, accuracy: 99.98%
