Epoch [1/20], loss: 1.0416, accuracy: 62.70%
Epoch [2/20], loss: 0.8152, accuracy: 71.73%
Epoch [3/20], loss: 0.6781, accuracy: 76.56%
Epoch [4/20], loss: 0.5874, accuracy: 80.29%
Epoch [5/20], loss: 0.5243, accuracy: 82.44%
Epoch [6/20], loss: 0.4832, accuracy: 83.57%
Epoch [7/20], loss: 0.4484, accuracy: 84.90%
Epoch [8/20], loss: 0.4223, accuracy: 85.85%
Epoch [9/20], loss: 0.3998, accuracy: 86.48%
Epoch [10/20], loss: 0.3781, accuracy: 87.36%
Epoch [11/20], loss: 0.3603, accuracy: 87.79%
Epoch [12/20], loss: 0.3403, accuracy: 88.52%
Epoch [13/20], loss: 0.3234, accuracy: 89.15%
Epoch [14/20], loss: 0.3084, accuracy: 89.56%
Epoch [15/20], loss: 0.2930, accuracy: 90.11%
Epoch [16/20], loss: 0.2808, accuracy: 90.54%
Epoch [17/20], loss: 0.2646, accuracy: 91.03%
Epoch [18/20], loss: 0.2545, accuracy: 91.52%
Epoch [19/20], loss: 0.2447, accuracy: 91.70%
Epoch [20/20], loss: 0.2325, accuracy: 92.02%
