Epoch [1/20], loss: 0.9268, accuracy: 65.57%
Epoch [2/20], loss: 0.6230, accuracy: 75.68%
Epoch [3/20], loss: 0.5737, accuracy: 77.91%
Epoch [4/20], loss: 0.5410, accuracy: 79.78%
Epoch [5/20], loss: 0.5002, accuracy: 80.66%
Epoch [6/20], loss: 0.4675, accuracy: 81.99%
Epoch [7/20], loss: 0.4380, accuracy: 82.78%
Epoch [8/20], loss: 0.4196, accuracy: 83.11%
Epoch [9/20], loss: 0.3764, accuracy: 84.89%
Epoch [10/20], loss: 0.3375, accuracy: 86.56%
Epoch [11/20], loss: 0.3074, accuracy: 87.93%
Epoch [12/20], loss: 0.2682, accuracy: 89.70%
Epoch [13/20], loss: 0.2327, accuracy: 91.23%
Epoch [14/20], loss: 0.2125, accuracy: 91.86%
Epoch [15/20], loss: 0.1788, accuracy: 93.33%
Epoch [16/20], loss: 0.1727, accuracy: 93.81%
Epoch [17/20], loss: 0.1633, accuracy: 93.95%
Epoch [18/20], loss: 0.1473, accuracy: 94.66%
Epoch [19/20], loss: 0.1554, accuracy: 94.26%
Epoch [20/20], loss: 0.1397, accuracy: 94.83%
