Epoch [1/30], loss: 0.9027, accuracy: 67.54%
Epoch [2/30], loss: 0.6837, accuracy: 73.24%
Epoch [3/30], loss: 0.5621, accuracy: 77.86%
Epoch [4/30], loss: 0.4759, accuracy: 81.49%
Epoch [5/30], loss: 0.3870, accuracy: 85.98%
Epoch [6/30], loss: 0.3049, accuracy: 89.05%
Epoch [7/30], loss: 0.2729, accuracy: 90.26%
Epoch [8/30], loss: 0.2621, accuracy: 91.03%
Epoch [9/30], loss: 0.2263, accuracy: 92.18%
Epoch [10/30], loss: 0.2225, accuracy: 92.00%
Epoch [11/30], loss: 0.2013, accuracy: 92.90%
Epoch [12/30], loss: 0.1865, accuracy: 93.38%
Epoch [13/30], loss: 0.1780, accuracy: 93.71%
Epoch [14/30], loss: 0.1960, accuracy: 92.85%
Epoch [15/30], loss: 0.1937, accuracy: 93.15%
Epoch [16/30], loss: 0.1779, accuracy: 93.88%
Epoch [17/30], loss: 0.1633, accuracy: 94.06%
Epoch [18/30], loss: 0.1343, accuracy: 95.42%
Epoch [19/30], loss: 0.1552, accuracy: 94.46%
Epoch [20/30], loss: 0.1127, accuracy: 96.07%
Epoch [21/30], loss: 0.1572, accuracy: 94.55%
Epoch [22/30], loss: 0.1162, accuracy: 96.12%
Epoch [23/30], loss: 0.1110, accuracy: 96.12%
Epoch [24/30], loss: 0.0913, accuracy: 96.72%
Epoch [25/30], loss: 0.0782, accuracy: 97.22%
Epoch [26/30], loss: 0.0625, accuracy: 97.70%
Epoch [27/30], loss: 0.0763, accuracy: 97.22%
Epoch [28/30], loss: 0.0581, accuracy: 98.02%
Epoch [29/30], loss: 0.0683, accuracy: 97.32%
Epoch [30/30], loss: 0.1205, accuracy: 96.05%
