Epoch [1/30], loss: 1.3277, accuracy: 46.85%
Epoch [2/30], loss: 1.2140, accuracy: 52.95%
Epoch [3/30], loss: 1.0654, accuracy: 59.92%
Epoch [4/30], loss: 1.0075, accuracy: 63.88%
Epoch [5/30], loss: 0.9142, accuracy: 67.10%
Epoch [6/30], loss: 0.8420, accuracy: 71.27%
Epoch [7/30], loss: 0.8678, accuracy: 70.06%
Epoch [8/30], loss: 0.7846, accuracy: 73.53%
Epoch [9/30], loss: 0.7622, accuracy: 74.04%
Epoch [10/30], loss: 0.7343, accuracy: 75.14%
Epoch [11/30], loss: 0.6945, accuracy: 76.46%
Epoch [12/30], loss: 0.6742, accuracy: 77.35%
Epoch [13/30], loss: 0.6434, accuracy: 78.43%
Epoch [14/30], loss: 0.6160, accuracy: 79.03%
Epoch [15/30], loss: 0.6050, accuracy: 79.94%
Epoch [16/30], loss: 0.5691, accuracy: 80.99%
Epoch [17/30], loss: 0.5553, accuracy: 81.45%
Epoch [18/30], loss: 0.5314, accuracy: 82.14%
Epoch [19/30], loss: 0.5184, accuracy: 82.53%
Epoch [20/30], loss: 0.5015, accuracy: 83.12%
Epoch [21/30], loss: 0.4822, accuracy: 83.85%
Epoch [22/30], loss: 0.4689, accuracy: 84.28%
Epoch [23/30], loss: 0.4625, accuracy: 84.49%
Epoch [24/30], loss: 0.4442, accuracy: 84.96%
Epoch [25/30], loss: 0.4362, accuracy: 85.31%
Epoch [26/30], loss: 0.4243, accuracy: 85.70%
Epoch [27/30], loss: 0.4232, accuracy: 85.66%
Epoch [28/30], loss: 0.4130, accuracy: 86.05%
Epoch [29/30], loss: 0.3963, accuracy: 86.69%
Epoch [30/30], loss: 0.3941, accuracy: 86.70%
