Epoch [1/30], loss: 0.8982, accuracy: 66.92%
Epoch [2/30], loss: 0.5915, accuracy: 77.33%
Epoch [3/30], loss: 0.5244, accuracy: 79.69%
Epoch [4/30], loss: 0.4857, accuracy: 80.71%
Epoch [5/30], loss: 0.4510, accuracy: 82.11%
Epoch [6/30], loss: 0.4289, accuracy: 83.46%
Epoch [7/30], loss: 0.4163, accuracy: 84.01%
Epoch [8/30], loss: 0.4012, accuracy: 84.23%
Epoch [9/30], loss: 0.3778, accuracy: 85.40%
Epoch [10/30], loss: 0.3770, accuracy: 85.23%
Epoch [11/30], loss: 0.3582, accuracy: 86.31%
Epoch [12/30], loss: 0.3402, accuracy: 87.06%
Epoch [13/30], loss: 0.3339, accuracy: 87.10%
Epoch [14/30], loss: 0.3330, accuracy: 86.83%
Epoch [15/30], loss: 0.3324, accuracy: 87.00%
Epoch [16/30], loss: 0.3171, accuracy: 87.83%
Epoch [17/30], loss: 0.2975, accuracy: 88.53%
Epoch [18/30], loss: 0.3067, accuracy: 87.68%
Epoch [19/30], loss: 0.3006, accuracy: 87.81%
Epoch [20/30], loss: 0.2877, accuracy: 88.96%
Epoch [21/30], loss: 0.2775, accuracy: 89.03%
Epoch [22/30], loss: 0.2833, accuracy: 88.53%
Epoch [23/30], loss: 0.2793, accuracy: 89.25%
Epoch [24/30], loss: 0.2778, accuracy: 89.11%
Epoch [25/30], loss: 0.2730, accuracy: 89.31%
Epoch [26/30], loss: 0.2501, accuracy: 90.15%
Epoch [27/30], loss: 0.2466, accuracy: 90.55%
Epoch [28/30], loss: 0.2616, accuracy: 89.95%
Epoch [29/30], loss: 0.2439, accuracy: 90.30%
Epoch [30/30], loss: 0.2419, accuracy: 90.30%
