Epoch [1/30], loss: 0.9175, accuracy: 73.35%
Epoch [2/30], loss: 0.6055, accuracy: 79.71%
Epoch [3/30], loss: 0.5919, accuracy: 79.95%
Epoch [4/30], loss: 0.5871, accuracy: 79.98%
Epoch [5/30], loss: 0.5848, accuracy: 80.02%
Epoch [6/30], loss: 0.5826, accuracy: 80.00%
Epoch [7/30], loss: 0.5817, accuracy: 80.11%
Epoch [8/30], loss: 0.5805, accuracy: 80.11%
Epoch [9/30], loss: 0.5801, accuracy: 80.13%
Epoch [10/30], loss: 0.5794, accuracy: 80.10%
Epoch [11/30], loss: 0.5794, accuracy: 80.06%
Epoch [12/30], loss: 0.5785, accuracy: 80.03%
Epoch [13/30], loss: 0.5779, accuracy: 80.14%
Epoch [14/30], loss: 0.5776, accuracy: 80.22%
Epoch [15/30], loss: 0.5767, accuracy: 80.11%
Epoch [16/30], loss: 0.5767, accuracy: 80.10%
Epoch [17/30], loss: 0.5765, accuracy: 80.12%
Epoch [18/30], loss: 0.5760, accuracy: 80.12%
Epoch [19/30], loss: 0.5760, accuracy: 80.08%
Epoch [20/30], loss: 0.5750, accuracy: 80.15%
Epoch [21/30], loss: 0.5755, accuracy: 80.23%
Epoch [22/30], loss: 0.5753, accuracy: 80.17%
Epoch [23/30], loss: 0.5745, accuracy: 80.16%
Epoch [24/30], loss: 0.5745, accuracy: 80.25%
Epoch [25/30], loss: 0.5744, accuracy: 80.24%
Epoch [26/30], loss: 0.5740, accuracy: 80.20%
Epoch [27/30], loss: 0.5736, accuracy: 80.23%
Epoch [28/30], loss: 0.5734, accuracy: 80.35%
Epoch [29/30], loss: 0.5733, accuracy: 80.31%
Epoch [30/30], loss: 0.5732, accuracy: 80.17%
