Epoch [1/30], loss: 1.1433, accuracy: 69.97%
Epoch [2/30], loss: 0.5690, accuracy: 77.71%
Epoch [3/30], loss: 0.4074, accuracy: 83.18%
Epoch [4/30], loss: 0.3221, accuracy: 87.31%
Epoch [5/30], loss: 0.2747, accuracy: 89.03%
Epoch [6/30], loss: 0.2481, accuracy: 89.53%
Epoch [7/30], loss: 0.2304, accuracy: 90.11%
Epoch [8/30], loss: 0.2190, accuracy: 90.45%
Epoch [9/30], loss: 0.2108, accuracy: 90.45%
Epoch [10/30], loss: 0.2055, accuracy: 91.00%
Epoch [11/30], loss: 0.2003, accuracy: 91.26%
Epoch [12/30], loss: 0.1964, accuracy: 91.01%
Epoch [13/30], loss: 0.1933, accuracy: 91.25%
Epoch [14/30], loss: 0.1913, accuracy: 91.15%
Epoch [15/30], loss: 0.1897, accuracy: 91.10%
Epoch [16/30], loss: 0.1877, accuracy: 91.23%
Epoch [17/30], loss: 0.1863, accuracy: 91.18%
Epoch [18/30], loss: 0.1852, accuracy: 91.23%
Epoch [19/30], loss: 0.1856, accuracy: 91.23%
Epoch [20/30], loss: 0.1832, accuracy: 91.23%
Epoch [21/30], loss: 0.1820, accuracy: 91.31%
Epoch [22/30], loss: 0.1817, accuracy: 91.35%
Epoch [23/30], loss: 0.1811, accuracy: 91.25%
Epoch [24/30], loss: 0.1816, accuracy: 91.31%
Epoch [25/30], loss: 0.1801, accuracy: 91.20%
Epoch [26/30], loss: 0.1793, accuracy: 91.38%
Epoch [27/30], loss: 0.1790, accuracy: 91.28%
Epoch [28/30], loss: 0.1789, accuracy: 91.28%
Epoch [29/30], loss: 0.1784, accuracy: 91.35%
Epoch [30/30], loss: 0.1776, accuracy: 91.33%
