Epoch [1/30], loss: 0.9960, accuracy: 64.16%
Epoch [2/30], loss: 0.7458, accuracy: 73.65%
Epoch [3/30], loss: 0.5914, accuracy: 79.61%
Epoch [4/30], loss: 0.5073, accuracy: 82.76%
Epoch [5/30], loss: 0.4515, accuracy: 84.73%
Epoch [6/30], loss: 0.4085, accuracy: 86.22%
Epoch [7/30], loss: 0.3770, accuracy: 87.28%
Epoch [8/30], loss: 0.3436, accuracy: 88.48%
Epoch [9/30], loss: 0.3201, accuracy: 89.29%
Epoch [10/30], loss: 0.2925, accuracy: 90.15%
Epoch [11/30], loss: 0.2697, accuracy: 90.99%
Epoch [12/30], loss: 0.2474, accuracy: 91.72%
Epoch [13/30], loss: 0.2309, accuracy: 92.34%
Epoch [14/30], loss: 0.2122, accuracy: 92.90%
Epoch [15/30], loss: 0.1968, accuracy: 93.42%
Epoch [16/30], loss: 0.1790, accuracy: 93.93%
Epoch [17/30], loss: 0.1762, accuracy: 94.03%
Epoch [18/30], loss: 0.1614, accuracy: 94.53%
Epoch [19/30], loss: 0.1527, accuracy: 94.83%
Epoch [20/30], loss: 0.1410, accuracy: 95.28%
Epoch [21/30], loss: 0.1360, accuracy: 95.39%
Epoch [22/30], loss: 0.1337, accuracy: 95.28%
Epoch [23/30], loss: 0.1196, accuracy: 96.03%
Epoch [24/30], loss: 0.1114, accuracy: 96.19%
Epoch [25/30], loss: 0.1107, accuracy: 96.23%
Epoch [26/30], loss: 0.1108, accuracy: 96.17%
Epoch [27/30], loss: 0.0978, accuracy: 96.70%
Epoch [28/30], loss: 0.0989, accuracy: 96.66%
Epoch [29/30], loss: 0.0954, accuracy: 96.74%
Epoch [30/30], loss: 0.0965, accuracy: 96.74%
