Epoch [1/30], loss: 0.9138, accuracy: 67.06%
Epoch [2/30], loss: 0.6137, accuracy: 76.13%
Epoch [3/30], loss: 0.5677, accuracy: 77.93%
Epoch [4/30], loss: 0.5629, accuracy: 79.24%
Epoch [5/30], loss: 0.4967, accuracy: 80.84%
Epoch [6/30], loss: 0.4563, accuracy: 82.44%
Epoch [7/30], loss: 0.4031, accuracy: 84.63%
Epoch [8/30], loss: 0.3972, accuracy: 84.93%
Epoch [9/30], loss: 0.3244, accuracy: 87.96%
Epoch [10/30], loss: 0.2728, accuracy: 89.98%
Epoch [11/30], loss: 0.2393, accuracy: 91.28%
Epoch [12/30], loss: 0.2199, accuracy: 92.35%
Epoch [13/30], loss: 0.1834, accuracy: 93.50%
Epoch [14/30], loss: 0.1655, accuracy: 94.13%
Epoch [15/30], loss: 0.1645, accuracy: 94.05%
Epoch [16/30], loss: 0.1504, accuracy: 94.55%
Epoch [17/30], loss: 0.1290, accuracy: 95.52%
Epoch [18/30], loss: 0.1274, accuracy: 95.33%
Epoch [19/30], loss: 0.1040, accuracy: 96.33%
Epoch [20/30], loss: 0.1182, accuracy: 95.45%
Epoch [21/30], loss: 0.0952, accuracy: 96.63%
Epoch [22/30], loss: 0.0788, accuracy: 97.27%
Epoch [23/30], loss: 0.0821, accuracy: 97.12%
Epoch [24/30], loss: 0.0782, accuracy: 97.47%
Epoch [25/30], loss: 0.0699, accuracy: 97.42%
Epoch [26/30], loss: 0.0706, accuracy: 97.43%
Epoch [27/30], loss: 0.0510, accuracy: 98.23%
Epoch [28/30], loss: 0.0558, accuracy: 98.00%
Epoch [29/30], loss: 0.0563, accuracy: 98.00%
Epoch [30/30], loss: 0.0414, accuracy: 98.65%
